short_name,long_name,player_positions,overall,potential,age,height_cm,weight_kg,club_team_id,club_position,club_jersey_number,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle
V. Muriqi,Vedat Muriqi,ST,68,74,24,194,86,101037,ST,94,219,Kosovo,,,,Left,4,2,1,Medium/Medium,Lean (185+),No,62,69,45,59,27,73,35,69,73,54,61,60,58,30,35,63,53,69,49,61,34,75,43,66,88,63,51,18,70,46,67,54,20,25,22
E. Kaş,Erkan Kaş,LB,68,71,26,183,75,113259,RES,46,48,Turkey,,,,Left,3,3,1,Medium/High,Normal (170-185),No,75,62,66,73,65,66,69,55,53,67,63,72,68,64,64,74,76,75,76,67,72,72,56,68,62,67,74,68,62,64,56,66,65,67,62
R. Rotman,Rajko Rotman,CDM,68,68,29,187,80,101020,RDM,5,44,Slovenia,1361,SUB,18,Right,2,2,1,Medium/Medium,Lean (185+),No,67,65,66,64,67,73,63,63,67,71,53,65,68,69,65,61,66,67,67,66,66,73,70,76,72,67,72,67,59,58,70,70,67,70,60
G. Stewart,Greg Alexander James Stewart,"RM, CAM",68,68,28,178,73,88,RES,37,42,Scotland,,,,Left,3,3,1,Medium/Low,Normal (170-185),No,76,65,64,69,30,60,65,68,58,67,49,68,44,51,60,69,74,77,78,60,74,65,69,57,61,61,61,13,67,68,62,53,45,21,18
G. Karadeniz,Gökhan Karadeniz,"CAM, LM",68,68,28,178,72,749,RES,6,48,Turkey,,,,Left,4,3,1,High/Low,Normal (170-185),No,72,67,64,68,38,67,58,62,60,69,69,66,67,47,64,67,68,76,75,64,74,75,64,68,66,67,67,48,70,66,68,70,23,38,36
V. Bora,Vedat Bora,RM,68,77,23,175,68,101033,SUB,20,48,Turkey,,,,Right,2,3,1,Medium/Medium,Normal (170-185),No,78,53,68,68,42,54,69,48,49,71,38,68,64,39,73,68,77,78,75,62,66,55,68,53,49,62,66,56,66,64,47,62,40,34,38
D. Kolovos,Dimitrios Kolovos,CAM,68,72,25,184,74,1907,SUB,10,22,Greece,,,,Right,4,3,1,High/Medium,Normal (170-185),No,68,67,66,70,26,57,65,66,39,67,67,72,66,67,63,70,68,68,67,62,67,68,66,51,59,67,55,18,68,65,62,67,28,26,27
B. Yardımcı,Barış Yardımcı,"RB, CB",68,70,25,176,71,742,LCB,26,48,Turkey,,,,Right,4,3,1,Medium/High,Stocky (170-185),No,76,30,58,64,69,67,61,25,70,63,24,63,54,41,54,64,75,76,70,63,71,30,67,67,66,31,71,68,63,55,47,54,69,69,66
L. Pirard,Lucas Pirard,GK,68,73,23,191,91,680,GK,21,7,Belgium,,,,Right,2,1,1,Medium/Medium,Normal (185+),No,,,,,,,10,10,15,17,13,7,14,17,14,20,31,36,37,62,52,19,58,23,71,14,31,13,16,30,27,35,10,15,12
M. Clark,Max Oliver Clark,"LB, CDM",68,77,22,180,73,1909,SUB,5,14,England,,,,Left,2,2,1,Medium/Medium,Normal (170-185),No,69,51,57,65,68,67,63,52,54,63,42,63,52,39,57,66,73,66,71,66,68,46,76,67,64,55,71,65,53,48,51,52,70,73,68
Sergi Canós,Sergi Canós Tenés,"LW, RW, LM",68,77,21,175,75,1925,RW,7,45,Spain,,,,Right,3,3,1,High/High,Normal (170-185),No,69,64,62,72,51,64,64,64,51,61,56,74,51,55,50,65,74,65,76,65,84,67,52,56,65,64,75,58,68,73,61,60,43,55,50
D. Roßbach,Damian Roßbach,"LB, CDM, CM",68,70,25,187,83,1832,LB,6,21,Germany,,,,Left,3,3,1,Medium/Medium,Normal (185+),No,69,38,60,64,66,71,64,31,67,69,23,63,36,40,62,66,68,70,62,67,59,52,60,72,76,35,60,69,53,48,48,60,63,68,64
R. Zentner,Robin Zentner,GK,68,78,23,194,96,169,SUB,27,21,Germany,,,,Right,3,1,1,Medium/Medium,Stocky (185+),No,,,,,,,17,14,18,30,15,13,14,16,26,19,65,65,30,66,45,23,60,28,79,13,38,18,10,22,25,29,21,17,13
T. Goiginger,Thomas Goiginger,"RW, RM",68,71,25,181,69,252,RW,27,4,Austria,,,,Right,3,4,1,Medium/Medium,Lean (170-185),No,74,63,67,70,35,61,70,64,54,67,55,74,65,62,66,68,75,73,64,54,67,68,56,69,60,57,54,37,67,68,56,64,34,28,37
L. Paganini,Luca Rudolf Paganini,"RM, RW",68,71,25,182,70,111657,SUB,7,27,Italy,,,,Right,3,3,1,High/Medium,Lean (170-185),No,74,54,65,70,25,58,66,46,32,68,40,70,59,42,65,69,70,78,76,69,71,64,53,73,55,65,46,32,63,68,55,58,27,18,14
R. Crivello,Roberto Crivello,"LB, LM",68,68,26,180,76,110741,LB,4,27,Italy,,,,Left,2,2,1,High/Medium,Normal (170-185),No,72,46,61,61,64,64,65,50,57,65,30,59,50,32,58,62,72,72,62,68,58,50,59,79,60,38,58,63,55,60,37,67,66,65,66
N. Stefanelli,Nicolás Marcelo Stefanelli,ST,68,75,24,166,71,433,SUB,22,52,Argentina,,,,Right,4,3,1,Medium/High,Stocky (170-),No,89,66,59,74,32,62,54,73,55,57,63,72,62,46,50,70,90,89,92,60,92,62,91,73,55,56,58,39,70,76,55,56,38,16,27
A. Vilches,Hugo Alejandro Héctor Vilches Manuguian,ST,68,70,26,180,80,110975,SUB,9,55,Chile,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,69,65,47,68,21,66,25,67,70,57,59,68,60,32,52,69,68,69,70,67,65,70,75,70,73,59,40,15,67,48,58,66,16,16,12
R. Neudecker,Richard Neudecker,"LM, CM, LB",68,78,21,174,63,110329,SUB,20,21,Germany,,,,Left,3,3,1,Medium/Medium,Lean (170-185),No,76,56,66,72,47,50,64,54,38,68,54,68,63,59,66,72,77,75,89,63,84,66,69,67,38,56,54,55,61,65,39,58,41,48,55
S. Väisänen,Sauli Aapo Kasperi Väisänen,CB,68,71,24,191,79,110734,SUB,56,17,Finland,1334,LCB,15,Right,3,2,1,Medium/Medium,Lean (185+),No,54,39,53,57,68,69,55,35,69,56,45,56,50,31,54,60,54,54,55,52,56,49,69,55,74,39,75,66,34,50,36,61,67,70,67
I. Poblete,Israel Elías Poblete Zúñiga,CAM,68,76,23,171,70,110977,SUB,8,55,Chile,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,71,61,65,71,35,64,59,65,37,69,45,71,56,71,62,70,71,71,78,53,78,59,66,74,67,57,44,31,64,69,52,68,38,34,37
A. Schenetti,Andrea Schenetti,"CM, CAM",68,68,27,175,72,111993,CAM,7,27,Italy,,,,Right,4,3,1,High/Medium,Normal (170-185),No,81,65,67,69,51,63,64,64,58,72,63,66,55,58,69,69,82,80,79,61,88,68,50,76,61,67,57,54,66,66,55,65,44,54,51
L. Mancuso,Leonardo Mancuso,"RW, LW",68,69,26,182,77,200,RW,7,27,Italy,,,,Right,4,3,1,High/Medium,Lean (170-185),No,78,64,61,70,27,65,60,64,48,65,67,67,58,41,57,72,72,83,78,71,80,61,58,89,60,63,48,36,70,63,68,69,20,22,20
E. Burgos,Esteban Rodrigo Burgos,CB,68,72,26,191,80,100831,RCB,4,52,Argentina,,,,Right,3,2,1,Low/Medium,Lean (185+),No,39,32,42,50,68,76,32,23,67,58,29,48,33,26,45,54,41,38,49,66,38,58,43,69,85,27,69,69,32,29,35,57,66,69,67
Li Lei,李磊,"LB, LM",68,70,26,183,66,111768,LB,4,155,China PR,,,,Left,3,2,1,High/Medium,Normal (170-185),No,73,37,62,57,66,71,62,26,56,67,48,53,51,47,61,57,72,74,65,65,64,57,67,75,69,32,74,66,62,61,44,51,63,71,68
S. Bolbat,Sergiy Bolbat,LM,68,71,25,175,66,101059,SUB,50,49,Ukraine,,,,Right,4,3,1,High/High,Lean (170-185),No,76,59,65,71,31,46,64,60,36,66,51,72,49,70,60,69,80,73,75,60,76,64,58,55,42,53,40,29,66,70,58,60,34,28,29
F. Dagerstål,Filip Dagerstål,"CB, CDM, CM",68,76,21,189,74,702,RCB,25,46,Sweden,,,,Right,3,2,1,Low/High,Lean (185+),No,58,43,61,57,65,75,55,37,59,71,34,53,46,38,67,64,61,56,61,62,50,65,80,74,75,40,76,66,36,55,37,63,71,63,61
M. Curado,Marcos Curado,"CB, RB",68,74,23,187,80,110734,CB,2,52,Argentina,,,,Right,2,2,1,Medium/Medium,Normal (185+),No,57,36,41,39,67,74,29,27,72,56,36,29,33,28,41,49,55,59,39,71,49,61,71,63,80,28,71,65,31,31,47,61,67,68,62
Jesús Valentín,Jesús Miguel Valentín Rodríguez,"CB, CDM",68,72,26,185,79,1867,CB,4,45,Spain,,,,Right,3,2,1,Low/Medium,Stocky (185+),No,66,43,58,46,66,76,59,22,68,65,30,37,58,57,61,62,66,66,36,57,49,75,73,73,83,60,65,65,31,44,60,58,67,67,62
A. Araujo,Alexis Araujo,"RM, CAM",68,75,21,159,53,110316,SUB,7,38,Portugal,,,,Right,4,3,1,Medium/Medium,Lean (170-),No,80,58,59,75,24,48,59,61,45,62,59,73,54,56,55,73,81,79,84,63,92,54,55,61,30,53,73,24,63,60,59,60,24,20,15
P. van Amersfoort,Pelle van Amersfoort,"CAM, CM",68,74,22,193,77,1913,SUB,19,34,Netherlands,,,,Right,3,3,1,Medium/Medium,Lean (185+),No,64,64,61,66,53,72,47,66,68,68,58,66,41,40,69,70,62,65,69,66,45,65,77,77,71,58,67,63,68,67,60,72,47,54,37
Kike Barja,Enrique Barja Afonso,"RM, LM",68,75,21,178,69,479,SUB,19,45,Spain,,,,Right,3,3,1,High/Medium,Lean (170-185),No,77,61,62,67,34,60,65,66,59,64,49,65,42,41,63,69,80,75,75,60,68,58,69,68,61,57,47,33,67,63,58,55,35,25,31
B. Kuscevic,Benjamín Kuscevic Jaramillo,CB,68,78,22,185,80,110975,SUB,13,55,Chile,,,,Right,3,2,1,Medium/Medium,Lean (185+),No,68,41,53,54,67,75,43,35,68,65,38,56,35,43,62,54,71,66,54,58,39,55,76,68,79,38,71,57,56,42,39,57,70,69,66
S. Salazar,Sebastián Enrique Salazar Beltrán,"CDM, CM",68,78,22,180,79,101104,SUB,13,56,Colombia,,,,Right,3,2,1,Low/Medium,Stocky (170-185),No,59,35,56,58,62,71,36,28,33,70,36,53,31,35,64,66,52,65,51,73,61,42,50,78,73,38,63,67,56,58,43,60,66,65,59
V. Dávila,Víctor Alejandro Dávila Zavala,"ST, CAM",68,75,20,173,72,101121,CAM,26,55,Chile,,,,Left,3,4,1,High/Low,Lean (170-185),No,72,66,63,75,30,54,45,69,43,75,65,75,65,67,65,74,71,72,78,69,74,68,52,63,56,62,37,25,69,59,53,72,28,31,34
Merquelanz,Martín Merquelanz Castellanos,"LW, RW",68,75,23,176,72,457,RES,16,45,Spain,,,,Left,3,3,1,Medium/Medium,Normal (170-185),No,69,60,64,71,37,56,65,65,36,68,40,72,62,43,59,71,69,69,68,64,78,54,52,55,59,62,50,39,66,65,44,61,25,45,47
N. Citro,Nicola Citro,ST,68,68,29,172,60,205,LS,36,27,Italy,,,,Left,2,3,1,High/Medium,Lean (170-185),No,71,68,62,72,25,47,59,72,58,69,61,69,57,58,48,74,74,68,80,61,87,63,56,59,45,64,35,23,72,66,65,51,19,23,22
M. Ibarra,Miguel Ángel Ibarra Andrade,"RM, RWB, LM, CAM",68,68,28,166,65,111138,RWB,10,95,United States,,,,Right,3,3,1,High/Medium,Normal (170-),Yes,75,62,63,72,53,65,60,60,50,68,59,74,69,58,49,66,77,74,79,67,69,67,58,71,64,60,64,51,63,65,63,64,55,56,49
D. Nagy,Dominik Nagy,"LM, CM",68,72,23,174,69,1871,RM,21,23,Hungary,,,,Left,3,3,1,Medium/Medium,Lean (170-185),No,81,59,63,67,42,56,64,58,42,65,61,67,59,52,60,65,84,78,71,65,82,62,49,71,51,59,49,31,62,65,54,62,49,42,45
J. Uchuari,Jonny Alexander Uchuari Pintado,CAM,68,73,24,162,60,,,,57,Ecuador,111465,SUB,13,Right,4,3,1,Medium/Medium,Normal (170-),No,67,69,66,70,36,56,64,69,28,66,69,70,71,65,67,67,66,67,69,72,94,71,69,61,52,69,54,59,58,66,72,64,26,34,35
N. Kreuzer,Niklas Kreuzer,"RB, RW",68,72,25,179,76,503,SUB,7,21,Germany,,,,Right,3,3,1,High/Medium,Normal (170-185),No,84,59,63,69,60,71,69,59,41,64,60,69,72,73,52,65,82,85,83,64,79,65,79,90,58,55,77,58,63,59,48,58,62,64,63
R. Oxford,Reece Oxford,"CB, CDM, RB",68,81,19,191,78,19,RES,35,14,England,,,,Right,3,2,1,Medium/Medium,Lean (185+),Yes,69,33,54,59,66,68,34,22,64,69,36,58,44,36,58,61,65,72,62,65,53,49,66,65,70,37,68,65,34,53,48,59,66,68,66
A. Gnoukouri,Assane Demoya Gnoukouri,"CM, CDM",68,76,21,180,71,44,RES,31,108,Côte d'Ivoire,,,,Right,3,3,1,Medium/High,Lean (170-185),No,62,52,67,67,67,67,62,48,69,74,50,66,54,46,70,72,63,61,58,60,70,64,68,63,67,50,70,66,58,64,50,58,62,72,68
C. Teuchert,Cedric Teuchert,"ST, RW",68,81,21,182,80,34,SUB,23,21,Germany,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,80,65,54,71,29,65,57,68,60,61,58,73,56,37,44,68,77,83,76,65,72,64,66,74,66,59,50,30,65,49,63,61,24,27,20
A. Gabr,Ali Gabr,CB,68,68,29,191,88,,,,111,Egypt,111130,RCB,2,Right,2,2,1,Medium/Medium,Normal (185+),No,63,35,47,46,69,72,34,25,63,59,33,42,34,22,66,44,65,62,63,55,60,56,66,66,78,42,67,63,22,35,24,65,72,71,75
Léo Jardim,Leonardo César Jardim,GK,68,77,23,188,74,744,GK,20,54,Brazil,,,,Right,2,1,1,Medium/Medium,Normal (185+),No,,,,,,,12,16,14,27,12,18,18,17,24,18,40,43,35,68,54,18,54,42,56,18,27,24,20,57,19,28,11,16,14
C. Dunkley,Cheyenne Dunkley,CB,68,71,26,188,85,1917,RCB,22,14,England,,,,Right,2,2,1,Medium/Medium,Normal (185+),No,58,35,43,50,67,73,26,36,72,57,24,45,29,25,50,57,57,59,54,52,51,41,74,69,80,25,62,62,62,40,34,48,68,69,67
F. Brandán,Fernando Daniel Brandán,"LM, CAM, RM",68,68,28,168,63,111713,SUB,22,52,Argentina,,,,Right,3,3,1,Medium/Low,Normal (170-),No,87,63,57,73,31,45,56,64,37,57,45,72,53,60,54,69,89,86,89,69,84,64,76,62,38,64,33,32,59,62,59,66,31,29,30
S. Johnson,Sam Johnson,ST,68,73,25,178,74,920,ST,10,122,Liberia,,,,Right,3,3,1,High/Medium,Normal (170-185),No,89,63,53,66,23,73,53,67,64,58,61,66,52,37,36,64,86,92,69,64,73,64,75,86,72,54,61,29,69,60,57,61,19,14,13
D. Martínez,Diego Alejandro Martínez Marín,GK,68,70,28,180,76,112527,GK,1,56,Colombia,,,,Right,3,1,1,Medium/Medium,Normal (170-185),No,,,,,,,17,14,18,27,16,11,20,18,17,25,42,46,36,65,52,24,57,31,35,12,16,22,19,21,23,36,27,14,15
D. Valoyes,Diego Luis Valoyes Ruíz,"RW, LW",68,80,21,180,76,112670,RW,18,56,Colombia,,,,Right,4,3,1,Medium/Low,Lean (170-185),No,80,69,61,67,44,64,63,68,49,60,65,68,67,60,53,64,78,82,74,67,59,72,56,76,65,70,50,38,67,64,62,64,53,37,40
Park Yong Woo,박용우 朴镕宇,"CM, CDM",68,74,24,186,80,1473,SUB,34,167,Korea Republic,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,55,60,63,61,62,80,47,57,65,68,49,58,37,47,74,66,58,53,61,67,57,67,72,77,89,68,65,63,59,71,42,58,60,63,57
N. Mazzola,Nicolás Mario Mazzola,ST,68,68,28,188,89,112116,SUB,18,52,Argentina,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,58,68,43,63,32,77,31,71,63,48,65,61,41,31,39,69,61,56,64,63,45,72,68,69,89,58,61,27,72,53,62,51,39,23,21
Witi,Witiness Chimoio João Quembo,"LW, RW",68,75,21,173,64,1891,RW,23,130,Mozambique,,,,Left,3,3,1,Medium/Medium,Lean (170-185),No,87,62,58,72,30,47,60,62,45,61,49,70,51,49,51,71,85,88,83,64,81,67,49,75,34,63,46,23,60,59,61,59,23,36,35
M. Polster,Matthew Ryan Polster,"RB, CDM",68,72,25,183,77,693,RES,2,95,United States,,,,Right,2,3,1,Medium/Medium,Normal (170-185),No,57,47,65,64,67,80,58,48,62,69,34,67,63,38,66,66,50,62,50,64,52,49,67,94,75,49,78,70,49,69,39,62,68,66,64
P. Mina,Pablo Andrés Mina Ramírez,GK,68,68,32,183,81,101102,SUB,12,56,Colombia,,,,Right,2,1,1,Medium/Medium,Stocky (170-185),No,,,,,,,17,16,16,27,16,20,16,18,23,21,41,44,39,58,57,16,55,23,66,13,19,19,16,31,23,32,17,11,11
Eber Bessa,Éber Henrique Ferreira de Bessa,CM,68,70,26,167,72,665,SUB,10,54,Brazil,,,,Right,3,3,1,Medium/Medium,Stocky (170-),No,69,63,67,71,58,58,63,59,59,68,43,69,68,68,64,70,69,69,76,73,91,71,69,53,52,68,78,58,67,70,67,73,52,61,62
F. Sotoca,Florian Sotoca,"ST, RW",68,68,27,187,81,1805,RW,7,18,France,,,,Right,3,3,1,Medium/Medium,Normal (185+),No,81,66,62,63,39,70,66,69,65,65,61,63,61,63,62,65,80,81,66,60,53,68,65,70,73,60,66,32,65,51,60,55,34,39,42
N. Rapp,Nicolai Rapp,CB,68,78,21,186,82,506,SUB,18,21,Germany,,,,Right,4,2,1,Medium/Medium,Normal (185+),No,55,34,52,53,67,70,36,33,59,67,39,48,38,33,59,59,54,55,54,66,58,43,76,68,69,26,71,69,37,46,35,49,65,70,68
L. Haraslín,Lukáš Haraslín,"RM, LM",68,77,22,182,71,111091,LM,17,43,Slovakia,,,,Left,3,3,1,High/Medium,Lean (170-185),No,84,60,61,70,40,63,64,60,59,64,58,70,64,54,52,66,84,84,87,64,72,60,70,80,64,59,38,33,64,58,58,57,33,41,48
L. Jallow,Lamin Jallow,"ST, RW, LW",68,74,23,185,80,110373,RES,33,116,Gambia,,,,Right,3,3,1,High/Low,Lean (185+),No,88,68,60,71,31,68,60,74,47,65,60,73,54,43,57,67,90,87,78,53,71,70,60,70,70,55,61,31,67,58,67,60,26,30,31
M. Mittelstädt,Maximilian Mittelstädt,"LB, LM",68,79,21,178,69,166,SUB,17,21,Germany,,,,Left,3,3,1,High/Medium,Lean (170-185),No,76,52,63,71,66,59,75,49,69,64,35,71,63,35,64,70,78,75,75,61,76,60,72,67,52,55,62,63,57,54,37,59,65,69,63
G. Giménez,Gastón Claudio Giménez,"CM, CDM",68,69,26,188,88,101088,RDM,30,52,Argentina,,,,Left,3,3,1,Medium/Medium,Normal (185+),No,59,62,67,70,63,80,68,62,63,67,57,73,61,58,71,68,55,63,71,63,53,67,38,72,92,61,71,61,63,66,55,69,65,65,55
B. Jović,Boban Jović,RB,68,68,27,178,69,742,RES,52,44,Slovenia,,,,Right,4,3,1,Medium/Medium,Lean (170-185),No,79,43,63,66,65,61,73,40,46,70,42,66,62,43,53,65,84,75,65,64,71,52,54,59,63,35,59,62,67,52,49,59,68,69,67
L. Ospina,Luciano Alejandro Ospina Londoño,CB,68,71,27,190,80,112579,RCB,22,56,Colombia,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,49,23,35,36,67,77,27,16,69,48,22,28,28,22,23,42,47,50,40,61,48,37,66,59,90,18,69,63,30,34,36,55,66,71,67
R. Mazáň,Róbert Mazáň,LB,68,74,24,180,75,450,RES,15,43,Slovakia,,,,Left,3,3,1,Medium/Medium,Normal (170-185),No,55,47,62,70,68,61,57,46,69,72,40,73,46,39,66,67,54,55,70,72,63,55,72,65,53,42,72,77,35,56,63,58,55,74,71
Oh Seung Hoon,오승훈 吴舜洪,GK,68,68,30,192,79,1473,GK,21,167,Korea Republic,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,,,,,,,13,17,11,29,11,15,11,16,19,17,43,48,31,60,46,25,55,16,66,11,18,20,11,42,21,55,16,20,13
S. Ntshangase,Siphelele Leonard Ntshangase,"CAM, CM, RW",68,72,25,172,65,110929,SUB,10,140,South Africa,,,,Right,3,3,1,High/Low,Lean (170-185),No,62,63,62,71,34,53,47,66,41,69,44,71,49,44,58,75,58,65,60,48,82,59,55,42,61,65,45,31,64,75,60,63,27,37,45
M. Vojvoda,Mërgim Vojvoda,"RB, RM, RWB",68,73,23,186,79,111560,RB,27,219,Kosovo,,,,Right,4,2,1,Medium/Medium,Normal (185+),No,68,45,66,65,64,68,72,35,55,65,47,67,62,58,67,62,69,68,66,66,67,62,65,72,67,49,67,65,62,64,35,60,64,66,68
A. La Gumina,Antonino La Gumina,ST,68,76,22,182,78,1746,RS,20,27,Italy,,,,Right,3,3,1,High/High,Normal (170-185),No,77,66,56,67,38,67,51,68,65,59,63,66,56,57,50,66,78,76,67,66,74,67,64,61,69,62,70,31,68,58,68,63,50,27,22
L. Godoy,Leonardo Ezequiel Godoy,RB,68,77,23,180,70,112670,RB,25,52,Argentina,,,,Right,3,2,1,High/Medium,Lean (170-185),No,71,37,59,66,64,77,64,34,61,63,36,68,40,35,62,61,72,71,68,66,73,32,61,79,77,45,80,68,58,54,41,61,55,71,67
P. Pentz,Patrick Pentz,GK,68,76,21,182,81,256,GK,32,4,Austria,,,,Left,4,1,1,Medium/Medium,Normal (170-185),No,,,,,,,19,13,16,31,15,15,15,13,20,25,52,55,62,58,54,20,68,42,61,14,26,19,20,58,24,37,17,19,18
F. Kalig,Fabian Kalig,CB,68,70,25,180,78,506,RCB,4,21,Germany,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,65,42,51,57,66,70,49,40,64,57,38,57,48,39,48,49,67,64,65,68,68,52,84,68,68,37,74,67,41,47,51,56,63,69,70
Javi Jiménez,Javier Jiménez Moreno,LB,68,78,22,173,70,15019,SUB,3,45,Spain,,,,Left,2,3,1,High/High,Normal (170-185),No,89,34,63,72,62,72,64,32,57,66,29,70,63,44,63,72,91,87,86,60,72,30,61,76,70,33,73,62,69,59,37,70,61,66,62
M. Taylor,Matthew James Taylor,ST,68,68,28,176,72,1919,RES,10,14,England,,,,Right,3,3,1,High/Medium,Normal (170-185),No,77,67,59,68,26,63,50,69,68,64,55,66,65,37,53,67,76,78,80,58,83,69,78,66,61,63,59,24,70,67,70,59,22,19,21
Kevin,Kevin Vázquez Comesaña,RB,68,73,25,173,72,450,RES,20,45,Spain,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,71,46,54,66,63,62,69,44,60,64,28,65,49,45,46,68,70,72,63,61,79,51,63,74,60,47,54,63,58,33,46,57,59,67,70
A. Green,Andre Jay Green,"LM, LW",68,82,19,180,71,2,SUB,19,14,England,,,,Right,3,3,1,High/Medium,Lean (170-185),No,81,60,63,70,36,56,67,62,50,68,50,72,56,45,65,68,79,82,75,50,72,66,47,68,60,51,34,27,62,57,61,65,37,34,38
T. Mrčela,Tomislav Mrčela,CB,68,70,27,195,88,111399,SUB,16,195,Australia,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,45,32,44,42,66,83,27,28,79,55,23,39,20,47,47,48,39,49,38,53,37,42,31,81,91,32,77,68,20,47,45,56,62,67,62
M. Alphonse,Mickaël David Alphonse,RB,68,68,28,182,75,110569,SUB,2,18,France,,,,Right,2,2,1,High/High,Normal (170-185),No,80,49,58,61,65,65,67,46,60,64,32,62,31,31,59,61,79,80,57,59,63,55,85,74,61,55,58,65,52,49,43,62,64,66,66
M. Svanberg,Mattias Olof Svanberg,"LM, RM",68,83,19,185,77,189,SUB,32,46,Sweden,,,,Right,3,3,1,High/Medium,Normal (185+),No,83,59,67,71,46,67,68,54,32,68,53,71,66,63,64,72,82,83,77,49,65,71,65,69,66,64,65,46,48,66,57,55,50,46,48
M. Tirpan,Mickaël Tirpan,"RB, RWB, CDM",68,72,24,179,74,2007,RB,25,7,Belgium,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,73,53,65,64,67,65,70,49,58,65,50,63,64,46,65,62,74,72,75,63,72,57,72,67,59,56,76,64,66,66,44,61,70,67,68
Y. Boli,Yohan Alexandre Mady Boli,ST,68,72,24,181,78,680,ST,11,108,Côte d'Ivoire,,,,Right,3,3,1,High/Medium,Normal (170-185),No,77,65,56,67,39,65,58,66,70,61,60,68,49,40,48,66,78,76,69,61,63,70,80,51,71,61,66,39,67,57,64,68,29,39,34
S. Amallah,Selim Amallah,"CAM, RM",68,76,21,185,75,111560,SUB,10,7,Belgium,,,,Right,3,3,1,Medium/Medium,Lean (185+),No,68,66,66,70,49,62,66,64,47,69,46,71,62,66,62,69,66,69,68,64,68,75,67,64,58,72,66,45,62,65,52,62,42,57,52
P. Eze,Patrick Friday Eze,ST,68,71,25,186,78,101033,SUB,34,133,Nigeria,,,,Right,3,2,1,High/Low,Normal (185+),No,79,68,47,64,29,78,43,69,64,54,62,62,46,40,40,64,79,79,80,60,61,71,73,81,83,66,62,15,61,44,67,60,39,21,18
K. Redondo,Kenny Prince Redondo,"LW, LM",68,76,23,181,68,1831,LW,18,21,Germany,,,,Left,3,3,1,Medium/Medium,Lean (170-185),No,90,62,60,69,44,57,60,61,43,66,55,69,53,42,55,67,90,90,81,62,73,68,62,67,53,59,55,40,62,58,56,50,45,46,47
Y. Yeboah,Yaw Yeboah,"RW, RM",68,78,21,175,70,477,RM,12,117,Ghana,,,,Left,2,3,1,High/Medium,Lean (170-185),No,87,59,56,74,25,39,56,60,55,60,58,74,50,48,48,71,88,86,84,63,80,61,64,54,30,54,38,19,63,58,62,65,25,23,14
K. Hoggas,Kévin Hoggas,"CAM, CM, LM, RM",68,70,26,183,77,1750,LCM,20,18,France,,,,Right,2,3,1,Medium/Medium,Lean (170-185),No,66,66,69,69,44,67,69,65,65,71,55,71,66,62,66,70,65,66,67,50,62,70,64,67,74,67,49,46,65,69,65,63,36,43,46
O. Linnér,Oscar Carl Linnér,GK,68,74,21,198,82,433,GK,34,46,Sweden,,,,Right,3,1,1,Medium/Medium,Lean (185+),No,,,,,,,18,17,18,20,11,12,19,12,21,17,34,36,31,58,22,23,58,43,69,16,23,19,13,47,14,50,13,14,11
A. Grgić,Anto Grgić,"CM, CDM",68,77,21,188,84,110770,LCM,14,47,Switzerland,,,,Right,3,3,1,Medium/Medium,Normal (185+),No,57,54,71,62,62,70,66,46,48,75,52,60,64,69,70,69,61,54,56,54,69,66,61,66,76,58,63,62,67,70,47,66,68,63,53
A. Robinson,Antonee Robinson,"LB, LWB",68,81,20,181,64,1917,LB,3,95,United States,1387,LB,3,Left,2,3,1,Medium/Medium,Lean (170-185),Yes,85,34,45,69,66,67,60,33,54,48,32,69,35,39,33,67,84,86,73,66,72,32,70,73,64,31,65,67,49,40,45,54,67,69,67
David Rocha,David Mateos Rocha,"CM, CDM",68,68,33,179,77,15019,RCM,21,45,Spain,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,55,64,69,65,59,72,64,59,55,71,56,64,71,73,70,67,57,53,63,65,70,75,64,76,69,70,74,58,60,70,58,63,59,61,59
